item_id,title,category,item_type,era,year_hint,materials,condition_score,rarity_score,true_value,prompt_image,image_filename
it_b705pkge,Victorian Steel Hand Plane,tools,hand plane,Victorian,1867,"['steel', 'iron']",0.94,0.95,86,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare victorian hand plane made of steel, iron. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_b705pkge.png
it_gc65krzd,Mid-century Lace Lace Table Runner,textiles,lace table runner,Mid-century,1945,"['lace', 'cotton']",0.72,0.22,115,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common mid-century lace table runner made of lace, cotton. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_gc65krzd.png
it_7d31vlcy,Vintage 80s Brass Carriage Clock,clocks,carriage clock,Vintage 80s,1985,"['brass', 'wood']",0.4,0.3,76,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s carriage clock made of brass, wood. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: poor condition, noticeable damage and wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_7d31vlcy.png
it_phocezeb,Art Deco Wood Wind-Up Toy,toys,wind-up toy,Art Deco,1924,"['wood', 'tin']",0.79,0.74,113,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon art deco wind-up toy made of wood, tin. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_phocezeb.png
it_23cc7ke2,Vintage 80s Iron Side Table,furniture,side table,Vintage 80s,1983,"['iron', 'brass']",0.65,0.06,75,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s side table made of iron, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_23cc7ke2.png
it_xczvqdv0,Art Deco Paper Map Folio,books,map folio,Art Deco,1937,"['paper', 'leather']",0.55,0.72,74,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon art deco map folio made of paper, leather. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_xczvqdv0.png
it_nd9vj6cc,Retro 70s Glass Table Lamp,decor,table lamp,Retro 70s,1971,"['glass', 'wood']",0.91,0.04,158,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common retro 70s table lamp made of glass, wood. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_nd9vj6cc.png
it_59l8a4w7,Victorian Amber Glass Perfume Bottle,glassware,perfume bottle,Victorian,1869,"['amber glass', 'glass']",0.51,0.27,82,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian perfume bottle made of amber glass, glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_59l8a4w7.png
it_ap2dtp1o,Vintage 80s Wood Small Cabinet Handle Set,furniture,small cabinet handle set,Vintage 80s,1985,"['wood', 'brass']",0.85,0.89,142,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare vintage 80s small cabinet handle set made of wood, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ap2dtp1o.png
it_x9xl5hhb,Vintage 80s Glass Decanter,glassware,decanter,Vintage 80s,1980,"['glass', 'amber glass']",0.89,0.07,101,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s decanter made of glass, amber glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_x9xl5hhb.png
it_3ptn85db,Victorian Brass Wall Clock,clocks,wall clock,Victorian,1843,"['brass', 'wood']",0.88,0.3,132,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian wall clock made of brass, wood. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_3ptn85db.png
it_0rnxxopy,Retro 70s Wood Frame Etching Print,art,etching print,Retro 70s,1970,"['wood frame', 'canvas']",0.73,0.73,215,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon retro 70s etching print made of wood frame, canvas. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_0rnxxopy.png
it_zk4t47d4,Victorian Wood Mantel Clock,clocks,mantel clock,Victorian,1856,"['wood', 'bakelite']",0.77,0.43,183,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian mantel clock made of wood, bakelite. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_zk4t47d4.png
it_tbk1n041,Mid-century Porcelain Teapot,ceramics,teapot,Mid-century,1967,"['porcelain', 'earthenware']",0.91,0.89,179,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare mid-century teapot made of porcelain, earthenware. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_tbk1n041.png
it_gdxcu9sz,Victorian Paper Map Folio,books,map folio,Victorian,1858,"['paper', 'cloth cover']",0.96,0.0,65,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian map folio made of paper, cloth cover. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_gdxcu9sz.png
it_04yzf7f3,Retro 70s Iron Side Table,furniture,side table,Retro 70s,1978,"['iron', 'brass']",0.56,0.37,74,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common retro 70s side table made of iron, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_04yzf7f3.png
it_fmywip4r,Retro 70s Steel Oil Can,tools,oil can,Retro 70s,1972,"['steel', 'brass']",0.72,0.6,188,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon retro 70s oil can made of steel, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_fmywip4r.png
it_8tyu03zx,Retro 70s Lace Embroidered Scarf,textiles,embroidered scarf,Retro 70s,1976,"['lace', 'silk']",0.9,0.96,28,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare retro 70s embroidered scarf made of lace, silk. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_8tyu03zx.png
it_7tym2ees,Victorian Glazed Ceramic Bowl,ceramics,bowl,Victorian,1894,"['glazed ceramic', 'earthenware']",0.51,0.04,116,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian bowl made of glazed ceramic, earthenware. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_7tym2ees.png
it_ecsnhdeg,Mid-century Paper Sheet Music Booklet,books,sheet music booklet,Mid-century,1958,"['paper', 'leather']",0.55,0.64,86,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon mid-century sheet music booklet made of paper, leather. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ecsnhdeg.png
it_ksn4lmlg,Art Deco Glass Mantel Clock,clocks,mantel clock,Art Deco,1934,"['glass', 'wood']",0.84,0.86,353,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare art deco mantel clock made of glass, wood. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ksn4lmlg.png
it_i1bqflzu,Art Deco Stoneware Plate,ceramics,plate,Art Deco,1936,"['stoneware', 'glazed ceramic']",0.57,0.65,89,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon art deco plate made of stoneware, glazed ceramic. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_i1bqflzu.png
it_p6coqd54,Victorian Crystal Wine Glass Set,glassware,wine glass set,Victorian,1896,"['crystal', 'amber glass']",1.0,0.23,142,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian wine glass set made of crystal, amber glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_p6coqd54.png
it_39utny79,Victorian Plastic Wind-Up Toy,toys,wind-up toy,Victorian,1844,"['plastic', 'cloth']",0.82,0.26,47,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian wind-up toy made of plastic, cloth. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_39utny79.png
it_kvb571wa,Victorian Silk Lace Table Runner,textiles,lace table runner,Victorian,1875,"['silk', 'lace']",0.88,0.17,30,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian lace table runner made of silk, lace. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_kvb571wa.png
it_g9svid6i,Mid-century Iron Antique Hammer,tools,antique hammer,Mid-century,1966,"['iron', 'steel']",0.77,0.01,27,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common mid-century antique hammer made of iron, steel. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_g9svid6i.png
it_pv6fi02s,Art Deco Amber Glass Wine Glass Set,glassware,wine glass set,Art Deco,1924,"['amber glass', 'crystal']",0.57,0.34,238,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common art deco wine glass set made of amber glass, crystal. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_pv6fi02s.png
it_7ot22pz5,Victorian Leather Antique Journal,books,antique journal,Victorian,1858,"['leather', 'paper']",0.76,0.01,86,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian antique journal made of leather, paper. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_7ot22pz5.png
it_9cqspl1w,Mid-century Glass Perfume Bottle,glassware,perfume bottle,Mid-century,1954,"['glass', 'amber glass']",1.0,0.07,118,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common mid-century perfume bottle made of glass, amber glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_9cqspl1w.png
it_4im7juda,Edwardian Brass Antique Hammer,tools,antique hammer,Edwardian,1903,"['brass', 'iron']",0.44,0.22,93,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common edwardian antique hammer made of brass, iron. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: poor condition, noticeable damage and wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_4im7juda.png
it_z13yi3nf,Vintage 80s Silk Tapestry Fragment,textiles,tapestry fragment,Vintage 80s,1987,"['silk', 'cotton']",0.83,0.2,46,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s tapestry fragment made of silk, cotton. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_z13yi3nf.png
it_fvqzlzxm,Vintage 80s Cloth Cover Map Folio,books,map folio,Vintage 80s,1986,"['cloth cover', 'paper']",0.53,0.43,87,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s map folio made of cloth cover, paper. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_fvqzlzxm.png
it_ftgjornp,Georgian Stoneware Bowl,ceramics,bowl,Georgian,1747,"['stoneware', 'porcelain']",0.68,0.02,106,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian bowl made of stoneware, porcelain. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ftgjornp.png
it_q0wbf1is,Georgian Cotton Lace Table Runner,textiles,lace table runner,Georgian,1743,"['cotton', 'silk']",0.71,0.42,31,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian lace table runner made of cotton, silk. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_q0wbf1is.png
it_csstrwg2,Vintage 80s Stoneware Teapot,ceramics,teapot,Vintage 80s,1989,"['stoneware', 'porcelain']",0.53,0.83,133,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare vintage 80s teapot made of stoneware, porcelain. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_csstrwg2.png
